[06:04:34] 🚀 W&B Initialized. Run ID: 0_high_lr_R
[06:04:35] 📂 Loading TRAIN Dataset from /scratch200/tallilo/deep_learning_project/data/TRAIN_HOMOLOGY_SPLIT.csv...
[06:04:55] ✅ CSV Loaded successfully. Raw rows: 42090
[06:04:55] ✅ Filtered short sequences. Remaining: 42090
[06:04:55] ✅ Dataset Ready. Total samples: 42090
[06:04:55] 📂 Loading VAL Dataset from /scratch200/tallilo/deep_learning_project/data/TEST_HOMOLOGY_SPLIT.csv...
[06:04:57] ✅ CSV Loaded successfully. Raw rows: 5451
[06:04:57] ✅ Filtered short sequences. Remaining: 5451
[06:04:57] ✅ Dataset Ready. Total samples: 5451
[06:04:57] 🔧 Initializing Hyena...
[06:04:58] ✅ Pre-trained Hyena weights loaded successfully.
[06:04:58] 🔧 Initializing ProtMamba (Random 'Garbage' Weights)...
You are using an old version of the checkpointing format that is deprecated (We will also silently ignore `gradient_checkpointing_kwargs` in case you passed it).Please update to the new format on your modeling file. To use the new format, you need to completely remove the definition of the method `_set_gradient_checkpointing` in your model.
/scratch200/tallilo/deep_learning_project/train_55_reproduction.py:486: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(f"{latest_ckpt_path}/training_state.pth", map_location=device)
[06:05:02] ✅ Successfully Resumed! Starting from Epoch 5, Step 6575, skipping up to Batch -1
[06:05:02] 🔥 STARTING TRAINING LOOP...
/scratch200/tallilo/conda_envs/dna_env/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[06:05:36] Step 6580 | Total: 2.2666 | CDS: 2.0028
[06:05:53] Step 6585 | Total: 2.5642 | CDS: 2.2813
[06:06:09] Step 6590 | Total: 1.5490 | CDS: 1.3334
[06:06:26] Step 6595 | Total: 1.9039 | CDS: 1.7117
[06:06:43] Step 6600 | Total: 1.9947 | CDS: 1.8249
[06:06:45] 💾 Full checkpoint saved at Epoch 5, Step 6600, Batch 99
[06:07:02] Step 6605 | Total: 1.9860 | CDS: 1.7131
[06:07:18] Step 6610 | Total: 1.5047 | CDS: 1.2904
[06:07:35] Step 6615 | Total: 1.8392 | CDS: 1.6069
[06:07:51] Step 6620 | Total: 1.5158 | CDS: 1.2182
[06:08:08] Step 6625 | Total: 1.5990 | CDS: 1.3438
[06:08:25] Step 6630 | Total: 2.1495 | CDS: 1.8342
[06:08:41] Step 6635 | Total: 1.4959 | CDS: 1.2610
[06:08:58] Step 6640 | Total: 1.7217 | CDS: 1.4957
[06:09:14] Step 6645 | Total: 1.4895 | CDS: 1.2966
[06:09:31] Step 6650 | Total: 2.0886 | CDS: 1.8685
[06:09:48] Step 6655 | Total: 1.5701 | CDS: 1.3919
[06:10:04] Step 6660 | Total: 1.4894 | CDS: 1.3330
[06:10:21] Step 6665 | Total: 1.6201 | CDS: 1.3777
[06:10:37] Step 6670 | Total: 2.1330 | CDS: 1.9067
[06:10:54] Step 6675 | Total: 1.5538 | CDS: 1.2938
[06:11:11] Step 6680 | Total: 1.6754 | CDS: 1.5082
[06:11:27] Step 6685 | Total: 2.4104 | CDS: 2.1539
[06:11:44] Step 6690 | Total: 1.4858 | CDS: 1.2884
[06:12:01] Step 6695 | Total: 1.8449 | CDS: 1.5598
[06:12:17] Step 6700 | Total: 2.1552 | CDS: 1.8420
[06:12:34] Step 6705 | Total: 1.6022 | CDS: 1.4082
[06:12:50] Step 6710 | Total: 1.6115 | CDS: 1.3860
[06:13:07] Step 6715 | Total: 1.5958 | CDS: 1.2984
[06:13:24] Step 6720 | Total: 1.8654 | CDS: 1.6218
[06:13:40] Step 6725 | Total: 2.0200 | CDS: 1.7692
[06:13:57] Step 6730 | Total: 1.8305 | CDS: 1.5256
