[11:05:44] 🚀 W&B Initialized. Run ID: 0_high_lr_R_multi_heads
[11:05:45] 📂 Loading TRAIN Dataset from /scratch200/tallilo/deep_learning_project/data/TRAIN_HOMOLOGY_SPLIT.csv...
[11:06:04] ✅ CSV Loaded successfully. Raw rows: 42090
[11:06:04] ✅ Filtered short sequences. Remaining: 42090
[11:06:04] ✅ Dataset Ready. Total samples: 42090
[11:06:04] 📂 Loading VAL Dataset from /scratch200/tallilo/deep_learning_project/data/TEST_HOMOLOGY_SPLIT.csv...
[11:06:07] ✅ CSV Loaded successfully. Raw rows: 5451
[11:06:07] ✅ Filtered short sequences. Remaining: 5451
[11:06:07] ✅ Dataset Ready. Total samples: 5451
[11:06:07] 🔧 Initializing Hyena...
[11:06:08] ✅ Pre-trained Hyena weights loaded successfully.
[11:06:08] 🔧 Initializing ProtMamba (Random 'Garbage' Weights)...
You are using an old version of the checkpointing format that is deprecated (We will also silently ignore `gradient_checkpointing_kwargs` in case you passed it).Please update to the new format on your modeling file. To use the new format, you need to completely remove the definition of the method `_set_gradient_checkpointing` in your model.
[11:06:11] 🔍 PARAMETER CHECK:
   - Trainable params: 23,235,466
   - Total params: 90,947,210
   - Percentage Trainable: 25.5483%
/scratch200/tallilo/deep_learning_project/train_55_reproduction_multi_heads.py:543: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(f"{latest_ckpt_path}/training_state.pth", map_location=device)
[11:06:11] ✅ Optimizer & Scheduler states loaded.
[11:06:11] 📉 Resuming EXACTLY from Epoch 22, Step 29250, Batch 1279
[11:06:11] 🔥 STARTING TRAINING LOOP...
[11:06:13] ⏩ Fast-forwarding... Skipping batch 0 / 1279
[11:06:23] ⏩ Fast-forwarding... Skipping batch 100 / 1279
[11:06:33] ⏩ Fast-forwarding... Skipping batch 200 / 1279
[11:06:43] ⏩ Fast-forwarding... Skipping batch 300 / 1279
[11:06:53] ⏩ Fast-forwarding... Skipping batch 400 / 1279
[11:07:03] ⏩ Fast-forwarding... Skipping batch 500 / 1279
[11:07:12] ⏩ Fast-forwarding... Skipping batch 600 / 1279
[11:07:22] ⏩ Fast-forwarding... Skipping batch 700 / 1279
[11:07:32] ⏩ Fast-forwarding... Skipping batch 800 / 1279
[11:07:42] ⏩ Fast-forwarding... Skipping batch 900 / 1279
[11:07:52] ⏩ Fast-forwarding... Skipping batch 1000 / 1279
[11:08:01] ⏩ Fast-forwarding... Skipping batch 1100 / 1279
[11:08:11] ⏩ Fast-forwarding... Skipping batch 1200 / 1279
/scratch200/tallilo/conda_envs/dna_env/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[11:08:40] Step 29255 | Total: 1.8180 | CDS: 1.7332
wandb: WARNING Tried to log to step 29255 that is less than the current step 29266. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[11:08:54] Step 29260 | Total: 2.1035 | CDS: 1.9853
wandb: WARNING Tried to log to step 29260 that is less than the current step 29266. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[11:09:08] Step 29265 | Total: 1.9027 | CDS: 1.7776
wandb: WARNING Tried to log to step 29265 that is less than the current step 29266. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[11:09:22] Step 29270 | Total: 2.0298 | CDS: 1.8932
[11:09:36] Step 29275 | Total: 1.8940 | CDS: 1.7750
[11:09:50] Step 29280 | Total: 2.0576 | CDS: 1.9645
[11:10:04] Step 29285 | Total: 2.2370 | CDS: 2.0311
[11:10:18] Step 29290 | Total: 1.9017 | CDS: 1.7896
[11:10:32] Step 29295 | Total: 2.0093 | CDS: 1.8456
[11:10:46] Step 29300 | Total: 2.1515 | CDS: 2.0227
[11:11:00] Step 29305 | Total: 2.0024 | CDS: 1.8485
[11:11:15] Step 29310 | Total: 2.5950 | CDS: 2.4642
[11:11:29] Step 29315 | Total: 1.9675 | CDS: 1.8217
[11:11:43] Step 29320 | Total: 2.0861 | CDS: 1.9167
[11:11:57] Step 29325 | Total: 2.2051 | CDS: 2.0151
[11:12:11] Step 29330 | Total: 1.9875 | CDS: 1.8229
[11:12:25] Step 29335 | Total: 2.0782 | CDS: 1.9264
[11:12:39] Step 29340 | Total: 2.0162 | CDS: 1.8774
[11:12:53] Step 29345 | Total: 2.0097 | CDS: 1.7371
[11:13:07] Step 29350 | Total: 1.8807 | CDS: 1.7531
[11:13:21] Step 29355 | Total: 1.9833 | CDS: 1.8603
[11:13:35] Step 29360 | Total: 2.1411 | CDS: 2.0176
[11:13:49] Step 29365 | Total: 2.1215 | CDS: 1.9968
[11:14:04] Step 29370 | Total: 2.0603 | CDS: 1.9064
[11:14:18] Step 29375 | Total: 1.9792 | CDS: 1.7888
[11:14:32] Step 29380 | Total: 2.3897 | CDS: 2.1800
[11:14:46] Step 29385 | Total: 2.0127 | CDS: 1.8871
[11:15:00] Step 29390 | Total: 1.9589 | CDS: 1.8338
[11:15:14] Step 29395 | Total: 1.9189 | CDS: 1.8080
[11:15:28] Step 29400 | Total: 2.2793 | CDS: 2.1661
[11:15:48] 💾 Full checkpoint saved at Epoch 22, Step 29400, Batch 1879
[11:16:03] Step 29405 | Total: 2.0666 | CDS: 1.9305
[11:16:17] Step 29410 | Total: 2.1893 | CDS: 2.0545
[11:16:31] Step 29415 | Total: 1.9815 | CDS: 1.7530
[11:16:45] Step 29420 | Total: 2.4348 | CDS: 2.1843
[11:16:59] Step 29425 | Total: 1.9462 | CDS: 1.7883
[11:17:13] Step 29430 | Total: 2.2407 | CDS: 2.0183
[11:17:27] Step 29435 | Total: 2.6898 | CDS: 2.5549
[11:17:41] Step 29440 | Total: 2.2813 | CDS: 2.1170
[11:17:55] Step 29445 | Total: 2.2248 | CDS: 2.1062
[11:18:09] Step 29450 | Total: 2.0411 | CDS: 1.8874
[11:18:23] Step 29455 | Total: 1.8462 | CDS: 1.7515
