[06:14:16] 🚀 W&B Initialized. Run ID: prot_mamba_pre_trained_32_r
[06:14:16] 📂 Loading TRAIN Dataset from /scratch200/tallilo/deep_learning_project/data/TRAIN_HOMOLOGY_SPLIT.csv...
[06:14:37] ✅ CSV Loaded successfully. Raw rows: 42090
[06:14:37] ✅ Filtered short sequences. Remaining: 42090
[06:14:37] ✅ Dataset Ready. Total samples: 42090
[06:14:37] 📂 Loading VAL Dataset from /scratch200/tallilo/deep_learning_project/data/TEST_HOMOLOGY_SPLIT.csv...
[06:14:39] ✅ CSV Loaded successfully. Raw rows: 5451
[06:14:39] ✅ Filtered short sequences. Remaining: 5451
[06:14:39] ✅ Dataset Ready. Total samples: 5451
[06:14:39] 🔧 Initializing Hyena...
[06:14:40] ✅ Pre-trained Hyena weights loaded successfully.
[06:14:40] 🔧 Initializing ProtMamba with PRE-TRAINED Weights...
[06:14:40] 🔧 Initializing ProtMamba with PRE-TRAINED Weights...
[06:14:42] ✅ Pre-trained ProtMamba weights loaded successfully!
You are using an old version of the checkpointing format that is deprecated (We will also silently ignore `gradient_checkpointing_kwargs` in case you passed it).Please update to the new format on your modeling file. To use the new format, you need to completely remove the definition of the method `_set_gradient_checkpointing` in your model.
[06:14:42] 🔍 PARAMETER CHECK:
   - Trainable params: 19,057,546
   - Total params: 133,370,762
   - Percentage Trainable: 14.2891%
/scratch200/tallilo/deep_learning_project/prot_mamba_pre_trained.py:812: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(f"{latest_ckpt_path}/training_state.pth", map_location=device)
[06:14:51] ✅ Optimizer & Scheduler states loaded.
[06:14:51] 📉 Resuming EXACTLY from Epoch 3, Step 4050, Batch 419
[06:14:51] 🔥 STARTING TRAINING LOOP...
[06:14:52] ⏩ Fast-forwarding... Skipping batch 0 / 419
[06:15:00] ⏩ Fast-forwarding... Skipping batch 100 / 419
[06:15:07] ⏩ Fast-forwarding... Skipping batch 200 / 419
[06:15:14] ⏩ Fast-forwarding... Skipping batch 300 / 419
[06:15:22] ⏩ Fast-forwarding... Skipping batch 400 / 419
/scratch200/tallilo/conda_envs/dna_env/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[06:15:51] Step 4055 | Total: 3.1148 | CDS: 2.8611
[06:16:06] Step 4060 | Total: 2.4619 | CDS: 2.2317
[06:16:21] Step 4065 | Total: 2.6583 | CDS: 2.4471
[06:16:37] Step 4070 | Total: 2.7517 | CDS: 2.3940
[06:16:52] Step 4075 | Total: 2.1999 | CDS: 2.0125
[06:17:07] Step 4080 | Total: 2.8590 | CDS: 2.5889
[06:17:22] Step 4085 | Total: 2.2140 | CDS: 1.9704
[06:17:37] Step 4090 | Total: 2.9501 | CDS: 2.7205
[06:17:53] Step 4095 | Total: 2.3554 | CDS: 2.1309
[06:18:08] Step 4100 | Total: 2.4725 | CDS: 2.2489
[06:18:23] Step 4105 | Total: 2.5632 | CDS: 2.3547
[06:18:38] Step 4110 | Total: 2.2404 | CDS: 1.9886
[06:18:54] Step 4115 | Total: 2.5670 | CDS: 2.3224
[06:19:09] Step 4120 | Total: 2.5720 | CDS: 2.3071
[06:19:24] Step 4125 | Total: 2.2938 | CDS: 2.0347
[06:19:39] Step 4130 | Total: 2.2385 | CDS: 2.0944
[06:19:54] Step 4135 | Total: 2.3186 | CDS: 2.0836
[06:20:10] Step 4140 | Total: 2.3736 | CDS: 2.1658
[06:20:25] Step 4145 | Total: 2.3571 | CDS: 2.0746
[06:20:40] Step 4150 | Total: 2.3605 | CDS: 2.0721
[06:20:55] Step 4155 | Total: 2.2169 | CDS: 1.9886
[06:21:11] Step 4160 | Total: 2.7766 | CDS: 2.5090
[06:21:26] Step 4165 | Total: 2.7294 | CDS: 2.4827
[06:21:41] Step 4170 | Total: 2.2378 | CDS: 2.0297
[06:21:56] Step 4175 | Total: 2.8296 | CDS: 2.5965
[06:22:11] Step 4180 | Total: 2.3777 | CDS: 2.0954
[06:22:27] Step 4185 | Total: 2.6320 | CDS: 2.3939
[06:22:42] Step 4190 | Total: 2.5753 | CDS: 2.3803
[06:22:57] Step 4195 | Total: 2.3129 | CDS: 2.1023
[06:23:12] Step 4200 | Total: 2.2051 | CDS: 1.9790
[06:23:14] 💾 Full checkpoint saved at Epoch 3, Step 4200, Batch 1019
[06:23:29] Step 4205 | Total: 2.1817 | CDS: 1.9658
[06:23:44] Step 4210 | Total: 2.3464 | CDS: 2.0311
[06:23:59] Step 4215 | Total: 2.4793 | CDS: 2.2035
[06:24:15] Step 4220 | Total: 2.4097 | CDS: 2.2060
[06:24:30] Step 4225 | Total: 2.5445 | CDS: 2.3242
[06:24:45] Step 4230 | Total: 2.6702 | CDS: 2.3135
[06:25:00] Step 4235 | Total: 2.2333 | CDS: 1.9789
[06:25:15] Step 4240 | Total: 2.6690 | CDS: 2.4184
[06:25:31] Step 4245 | Total: 2.5004 | CDS: 2.1970
[06:25:46] Step 4250 | Total: 2.2557 | CDS: 2.0124
[06:26:01] Step 4255 | Total: 2.7319 | CDS: 2.5461
